Name,Basic relationship,Presetted values
,y'(x)=0,"{x=t^2, y=FAC[t^3-4t]} -> t=2/sqrt(3), -2/sqrt(3)"
Area of parameterized function,"K{x=x(t), y=y(t), t in I}, x'(t), y'(t) continous [a, b], x'(t)>0 on (a, b), f(t)>=0 on [a, b]
A=\int{a, b, f(t)g'(t)dt}
Y_K = {(x, y): g(a)<=x<=g(b), 0<=y<=f(g^(-1)(x))}
m(Y_K)=\int{g(a), g(b), f(g^(-1)(x))dx} = [t=g^(-1)(x), x=g(t), dx/dt=g'(t), x=g(a) -> t=a, x=g(b) -> t=b] = \int{a, b, f(t)g'(t)}","{x=e^t, y=2t}, t in [0, 1]"
,"(Counterclockwise curve): x'(t)<0 on (a, b) -> m(Y_K)=\int{b, a, f(t)g'(t)dt} = -\int{a, b, f(t)g'(t)dt}",
Rotational volume/Rotationsvolym,,
Disc method/Skivmetoden,"Y_f={(x, y): a<=x<=b, 0<=y<=f(x)}, V=\int{\pi*y^2*dx} = \int{\pi*f^2(x)*dx}
a=x_0<x_1<…<x_(k-1)<x_k<…<x_n=b, \Dx_k = x_k-x_(k-1), d=max{k=1,2…n, \Dx_k}, f continous [x_(k-1, x_k], max M_k=f(\b_k), min m_k=f(\a_k), \a_k, \b_k in [x_(k-1), x_k]
\S{k=1, n, \pi*f^2(\a_k)\Dx_k} <= \S{k=1, n, m(D_k)} <= \S{k=1, n, pi*f^2(\b_k)\Dx_k} (lim d->0) -> V_x = \int{\pi*f^2(x)*dx}","Cone volume: y=x, a=0, b=3 -> x-axis
Sphere: y=sqrt(R^2-x^2), a=-R, b=R -> x-axis -> =4/3\piR^3
Hyperbola: y^2=b^2(x^2/a^2-1), a=a, b=2a -> x-axis -> 4/3\pi*ab^2"
,"Y_f={(x, y): a<=x<=b, 0<=y<=f(x)}, V=\int{\pi*x^2*dy} = \int{\pi*(f^(-1)(y))^2*dy}","Arbitrary: y=sqrt(x), 0<=x<=a -> a=0, b=sqrt(a) -> y-axis"
,"{x=x(t), y=y(t)}, V=\int{x(a), x(b), y^2(x^(-1)(x))dx}=\int{a, b, y^2(t)x'(t)dt} ","x=2t^2-1, y=3t^3-3t, a=0, b=1"
Shell method/Skalmetoden/Hålcylindermetoden,"Y_f={(x, y): a<=x<=b, 0<=y<=f(x)}, V=\int{a, b, 2\pi*xydx}=\int{a, b, 2\pi*xf(x)dx}
[x, x+\Dx] (\Dx>0) -> max: M_k = f(d_k), min: m_k=f(c_k), c_k, d_k in [x, x+\Dx], \DV(x) = V(x+\Dx)-V(x), B=\pi(x+\Dx)^2-\pi*x^2=\pi(2x+\Dx)\Dx
Bm_k <= \DV(x) <= BM_k -> lim{x->0, \pi(2x+\Dx)f(c_k) <= \DV(x)/\Dx <= \pi(2x+\Dx)f(d_k)} -> \pi*2x*f(x) <= dV/dx <= \pi*2x*f(x)","Torus: y=\pm\sqrt(R^2-(x-x_0)^2), a=x_0-R, b=x_0+R -> 2\int{x_0-R, x_0+R, 2\pi*x\sqrt(R^2-(x-x_0)^2)dx} = [u=x-x_0] = \int{-R, R, 4\pi*u\sqrt(R^2-(x-x_0)^2)du} + \int{-R, R, 4\pi\sqrt(R^2-(x-x_0)^2)du} = 0+2\pi^2x_0R^2
Arbitrary: y=sqrt(x), a=0, b=a"
Arc length/Båglängd,"f continous derivable in [a, b], a<=x<=b, l=\int{a, b, sqrt(1+f'(x))dx}
\Ds_x=sqrt((x_k-x_(k-1))^2+(f(x_k)-f(x_(k-1))), [f(x_k)-f(x_(k-1))=f'(S_k)(x_k-x_(k-1))], \Ds_x=sqrt(\x_k^2+f'(S_k)^2\Dx_k^2)=sqrt(1+f'(S_k)^2)\Dx_k, l=\S{k=1, n, \Ds_x}...","f(x)=ln(x), a=sqrt(3), b=sqrt(8)"
,"K={x=x(t), y=y(t)}, a<=<=b, l=m(K)=\int{a, b, sqrt((x'(t))^2+(y'(t))^2)dt}
\Ds=sqrt((x(t+\Dt)-x(t))^2+(y(t+\Dt)-y(t))","{x=a*sin(t), y=b*cos(t)}, a=-\pi, b=\pi -> \int{-\pi, \pi, sqrt(a^2-(a^2-b^2)sin^2(t)dt} = \int{-\pi, \pi, a*sqrt(1-(a/c)^2*sin^2(t))dt}"
Surface of revolution/Rotationsarea,"A = 2\pi\int{a, b, f(x)sqrt(1+f'(x)^2)dx}
(Cone s_1, r_1, s_2, r_2) -> r_2/s_2=r_1/s_1, s_1=s_2+\Ds, A = \pi*r_1*s_1-\pi*r_2*s_2 = \pi(r_1*s_1-s_2/s_1*r_1*s_2) = \pi*r_1(s_1^2-s_2^2) = \pi*(r_1+s_2/s_1*r_1)\Ds = \pi(r_1+r_2)\Ds=\pi(f(x)+f(x+\Dx))\Ds",
,"A = 2\pi\int{a, b, y(t)sqrt(x'(t)^2+y'(t)^2)dt}",
Volume with cross‑sectional area/Volym med tvärsnittsarea,"\int{0, n, A(x)dx}
A(x)=… (Shape area with x), A(x)=2xh/2",
Volume of sphere,,
Volume of cone,,
Volume of torus,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Mass,m=\int{dm} = \int{\'1r(x)*dx},
,m=\int{dm} = \int{\r(x)*A(x)*dx},
Tyngdpunkt,x_m = 1/m*\int{x*dm},
,"x_m = 1/(\r*A*h)*\int{x*\r*f(x)*h*dx}
y_m = 1/(\r*A*h)*\int{f(x)*\r*f(x)*h*dx}",
