Name,Basic relationship,Presetted values
,$math{A*cos(x)+B*sin(x)=D => =C*cos(x-\ph)=D},"$math{A=3, B=4, C=5, D=3, \ph=arccos(3/5)}
$math{A=2, B=5, C=sqrt(29), D=-4, \ph=arccos(2/sqrt(29))}
$math{A=5, B=-21, C=13, D=13, \ph=arccos(5/13)}
$math{A=1/3, B=2sqrt(2)/3, C=1, D=1/sqrt(2), \ph=arccos(1/3)}"
,$math{sin^2(x)=1/2 => (sin(x)+1/2)(sin(x)-1/2)=0},
,$math{cos^2(x)=1/2 => (cos(x)+1/2)(cos(x)-1/2)=0},
,$math{(sin(x)-1)(sqrt(2)cos(x)-1)=0},
,,$math{2sin(x)cos(x)-4cos(x)=0 -> cos(x)(sin(x)-2)=0}
,,"$math{sin(x)*cos(3x)-2sin(x)=0 => sin(x)(cos(3x)-2)=0}
$math{2sin(x)cos(3x)-sin(x)=0 => sin(x)(2cos(3x)-1)=0}"
,$math{f(sin(x))=0 => (t=sin(x))},
,$math{f(cos(x))=0 => (t=cos(x))},$math{t^2-1/4t-3/8}
,,"$math{2cos(t)-3sin^2(t)+2=0 => 2cos(t)-3(1-cos^2(t))+2=0}
$math{3cos^2(t)+5sin(t)=1 => 3(1-sin^2(t))+5sin(t)-1=0}
$math{3sin^2(x)-5cos(x)=0 => 3(1-cos^2(x))-5cos(x)=0}"
,,$math{cos(2x)-4cos(x)+3=0 -> (2cos^2(x)-1)-4cos(x)+3=0}
,,
,,
,,
,,
,,
,,
,,
,,
,,
Hyperbolic trigonometric functions,$math{cosh(x)=(e^x+e^(-x))/2},
,$math{sinh(x)=(e^x-e^(-x))/2},
,$math{tanh(x)=sinh(x)/cosh(x)=(e^x-e^(-x))/(e^x+e^(-x))},
,$math{cosh^2(x)-sinh^2(x)=1},
,$math{sinh(x+y)=sinh(x)cosh(y)+cosh(x)sinh(y)},
,$math{sinh(x-y)=sinh(x)cosh(y)-cosh(x)sinh(y)},
,$math{cosh(x+y)=cosh(x)cosh(y)+sinh(x)sinh(y)},
,$math{cosh(x-y)=cosh(x)cosh(y)-sinh(x)sinh(y)},
,$math{sinh(2x)=2sinh(x)cosh(x)},
,$math{cosh(2x)=cosh^2(x)+sinh^2(x)},
,$math{sinh^2(x)=(-1+cosh(2x))/2},
,$math{cosh^2(x)=(1+2cosh(2x))/2 = 1+2sinh^2(x) = 2cosh^2(x)-1},
Inverse hyperbolic trigonometric functions,"$math{arcsinh(x)=ln(x+sqrt(x^2+1)), x in (-\inf, \inf)}",
,"$math{arccosh(x)=ln(x+sqrt(x^2-1)), x in [1, \inf)}",
,"$math{arctanh(x)=1/2*ln((1+x)/(1-x)), x in (-1, 1)}",
,"$math{arccoth(x)=1/2*ln((x+1)/(x-1)), x in (-\inf, 1) \union (1, \inf)}",
,"$math{arcsech(x)=ln((1+sqrt(1-x^2))/x), x in (0, 1]}",
,"$math{arccsch(x)=ln(1/x+sqrt(1-x^2)/|x|), x != 0, x in (-\inf, 0) \union (0, \inf)}",
